ID,Fecha,Evento,Tipo,Descripción,Región,Provincia,Distrito,Muertos,Latitud,Longitud,Url_imagen,Url_externo
1,17 de mayo de 1980,Atentado de Chuschi,Atentado,"El grupo de Sendero Luminoso ingresaron a punta de pistola a las oficinas del Registro Electoral y procedieron a quemar las ánforas electorales y cédulas de sufragio que iban a ser usados en la elecciones presidenciales al día siguiente. El suceso recibió muy poca atención en la prensa peruana, los medios que informaron atribuyeron el hecho a un grupo de revoltosos.",Ayacucho,Cangallo,Chuschi,0,-13.583333,-74.350000,https://trome.com/resizer/nP4Jt50Hb67AuiULSD9OA51RF_g=/580x330/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/32CVRAXCJFAWJGO6F5MKLYJDIQ.jpg,https://trome.com/actualidad/politica/sendero-luminoso-hace-41-anos-se-inicio-la-escalada-terrorista-con-el-atentado-al-registro-electoral-de-chuschi-ayacucho-fotos-nczp-noticia/
2,19 de julio de 1980,Robo de armas,Robo,"Asaltan la mina Benito Melgarejo, en Ayacucho y se llevan 1520 cartuchos de dinamita.",Ayacucho,,,0,-13.163056,-74.224444,,
3,24 de diciembre de 1980,Asesinato en el fundo San Agustín de Ayzarca,Asesinato,Senderistas torturan y asesinan al propietario del fundo ayacuchano San Agustín de Ayzarca de Pomatambo-Vilcashuamán.,Ayacucho,Vilcashuamán,Vilcashuamán,1,-13.646000,-73.866694,,
4,22 de enero de 1981,Asesinato de Mitma Reyes,Asesinato,"Según las versiones policiales, se produce un enfrentamiento con una célula terrorista en la localidad de Mollebamba en la provincia ayacuchana Cangallo y como resultado queda muerto uno de los terroristas más buscados en la zona, Raymundo Mitma Reyes, de 31 años. Posteriormente, los comuneros denuncian que la muerte de Mitma Reyes se produjo en circunstancias totalmente distintas. Según esta versión, una patrulla de sinchis llega a la comunidad en horas de la madrugada y obliga a los pobladores a tirarse al suelo con las manos en la nuca y en medio de maltratos. Mitma se incorpora para protestar y uno de los policías le dispara y le causa la muerte.",Ayacucho,Cangallo,Cangallo,1,-13.608556,-74.154500,,
5,11 de octubre de 1981,Ataque a puesto policial en El Tambo,Ataque,"Cincuenta senderistas asaltaron el puesto policial del distrito de El Tambo, ocasionando la muerte de miembros de las fuerzas del orden y apoderándose del armamento que encontraron en tal dependencia.",Ayacucho,La Mar,El Tambo,6,-12.94817,-74.02066,https://s3.amazonaws.com/s3.timetoast.com/public/uploads/photo/19398912/image/medium-44907617a2c35735e4c3b25559a7c3e5.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAJB6ZCNNAN7BE7WDQ%2F20240119%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20240119T151208Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=a2705ec1c5d268c326ba6331324ddfece6a3478e0efe4522617f78024df82eb3,
6,3 de marzo de 1982,Asalto a la Cárcel de Ayacucho,Asalto,"Sendero Luminoso atacó el Centro Penitenciario de Huamanga para liberar a reclusos pertenecientes a dicha organización terrorista, Fueron liberando más de 70 senderistas y 254 presos se escaparon del penal.",Ayacucho,Huamanga,Ayacucho,14,-13.166667,-74.216667,https://d1ts5g4ys243sh.cloudfront.net/proyectos_especiales_prod/especiales/principales-atentados-sendero-luminoso-ecpm/img/carcel.jpg,https://cedoc.sisbib.unmsm.edu.pe/public/pdf/gorriti/Subfondo_%20INFORMES%20Y%20OFICIOS/Serie_%20MINISTERIO%20DEL%20INTERIOR/Subserie_%20GUARDIA%20CIVIL/4.2.1.36.pdf
7,24 de julio de 1982,Dinamitan la Municipalidad de San Juan Bautista,Atentado,"Un grupo de 15 encapuchados dinamitaron la parte frontal de la Municipalidad de San Juan Bautista, en represalia por la muerte del terrorista Bernabé Rodriguez Ramírez, acto seguido del atentado, los terroristas hicieron arengas y vivas a la lucha armada",Ayacucho,Huamanga,San Juan Bautista,0,-13.165886,-74.223632,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/236.jpg,https://lum.cultura.pe/cdi/periodico/dinamitan-municipio-en-ayacucho
8,2 de agosto de 1982,Asalto a la hacienda Allpachaca,Asalto,"Más de un centenar de individuos armados asaltan la hacienda Allpachaca, durante 4 horas, los atacantes ocupan este gran centro experimental, ubicado a 72 kilómetros al suroeste de la ciudad de Ayacucho, donde se desarrollaban cultivos andinos, estudios de ganado lechero y carne. Tras reducir a obreros y empleados, dejan cuantiosas pérdidas; incendian establos, matan 4 toros reproductores y 25 vacas lecheras, y destruyen depósitos.",Ayacucho,Huamanga,San Jose de Ticllas,0,-13.139861,-74.359278,,
9,12 de agosto de 1982,Asalto a la hacienda Illicancha,Asalto,"Asaltan la hacienda Illicancha en San Miguel, Huanta en Ayacucho, causando destrozos y sacrificando reses.",Ayacucho,Huanta,,0,-12.928661,-74.242134,,
10,22 de agosto de 1982,Ataque al puesto de la Guardia Civil ,Ataque,Un grupo de senderistas ataca el puesto de la Guardia Civil en Vilcashuamán. El enfrentamiento dura unas 5 horas; fallecen 7 policías y aproximadamente 30 atacantes. Por primera vez da la impresión de haberse iniciado una guerra civil en los Andes.,Ayacucho,Vilcashuamán,,37,-13.653056,-73.953861,https://cedoc.sisbib.unmsm.edu.pe/public/img/biblioteca_digital/coleccion_documental/portadas_individuales/144.jpg,https://lum.cultura.pe/cdi/sites/default/files/historieta/pdf/images%20%282%29.compressed__%28p14-30%29_0.PDF
11,2 de septiembre de 1982,Asesinato en Huanta,Asesinato,"Un guardia republicano es asesinado a tiros en el jirón Razuhuillca, en Huanta, Ayacucho",Ayacucho,Huanta,Huanta,1,-12.935667,-74.220000,,
12,20 de octubre de 1982,Toma del colegio Nuestra Señora de las Mercedes,Toma,"Un grupo de subersivos irrumpió en el Centro Educativo ""Nuestra Señora de las Mercedes"" armados y con el rostro cubierto. Lanzaron arengas a los estudiantes para que se unan a la lucha armada y repartieron propaganda subversiva",Ayacucho,Huamanga,Andrés Avelino Cáceres Dorregaray,0,-13.157826,-74.205838,https://lum.cultura.pe/cdi/sites/default/files/articulo/fotos/Cargas%20de%20dinamita.jpg,https://lum.cultura.pe/cdi/periodico/terroristas-toman-ce-y-reparten-propaganda-subversiva-en-ayacucho
